"year","title","venue","location","invited"
"2015","Reliability of muscle morphology measures in chronic neck pain — a systematic review","Belgian Back Society","Belgium",""
"2015","Changes in brain morphology in patients with traumatic and non-traumatic neck pain","European Congress for Manual Therapy","Belgium",""
"2015","Are morphological alterations in chronic neck pain associated with motor control?","EFIC","Denmark",""
"2016","Changes in motor-control brain regions and motor behaviour in chronic neck pain","IFOMPT","Scotland",""
"2016","Discontinuation in the motor network of patients with chronic neck pain","Faculty Research Day","Belgium",""
"2016","Influence of kinesiophobia and central sensitization on motor behaviour in chronic neck pain","IFOMPT","Scotland",""
"2016","Alterations in the motor network of patients with chronic neck pain","IFOMPT","Scotland",""
"2016","From research to manual practice","Mathera","Belgium",""
"2016","Exercise therapy for neck pain","Kinekring Deinze","Belgium",""
"2017","Are central neuroplastic alterations involved in chronic neck pain?","OHBM","Canada",""
"2017","Is traumatic and non-traumatic neck pain associated with brain alterations?","Pain Science in Motion","Sweden",""
"2018","Manipulation of the brain in chronic whiplash-associated disorders","University of Valencia","Spain",""
"2021","Rise of R in a public-health research institute","Rmeetup","Belgium",""
"2022","Projecting overweight and obesity prevalence with a Bayesian APC model","European Public Health Conference","Germany",""
"2022","Determining the disease burden of injuries: methodological considerations","European Public Health Conference","Germany",""
"2023","Tackling barriers in disease-burden estimates of injuries","European Public Health Conference","Ireland",""
"2024","INLA as an alternative to MCMC in epidemiological regression models","SBED Conference","Belgium",""
"2024","Estimating the burden of disease due to cancer in Belgium","European Public Health Conference","Lisbon",""
"2024","National perspective on knowledge translation in public health","European Public Health Conference","Lisbon",""
"2024","Public-health perspective of population health management","Flanders (EU Presidency)","Belgium","yes"
"2024","Master in systems and process innovation in healthcare","UHasselt","Belgium","yes"
"2025","Creating dashboards to support public-health policymaking","WHO Europe","","yes"
"2025","Role of projecting morbidity in healthcare-workforce planning","JA HEROES","Belgium","yes"
"2025","Health status in Flanders — relevance for health objectives","Flanders","Belgium","yes"
