"item","institution","year"
"Introduction to Leadership","Sciensano, Belgium","2024"
"Train the Trainer course","Sciensano, Belgium","2024"
"Introduction to Health Economic Assessment","KCE, Belgium","2023"
"Introduction to SAS Enterprise Guide","Sciensano, Belgium","2021"
"Epidemiology for Public Health Specialization","Imperial College London, UK","2021"
"Infectious Disease Modelling","Imperial College London, UK","2020"
"Spatial Statistics and Data Analysis","FLAMES, Belgium","2020"
"Epidemiology in Public Health Practice Specialization","Johns Hopkins University, USA","2020"
"Global Burden of Disease (GBD) online training","IHME, USA","2020"
"ICH GCP E6 R2","TRIUM, Belgium","2020"
"Basic ICH-GCP and ISO 14155","T!Write, Belgium","2020"
"Quality Manual System training","T!Write, Belgium","2020"
"Introduction to Structural Equation Modelling","FLAMES, Belgium","2019"
"International research stay (1 month) — Research Unit of Prof. Deborah Falla","University of Birmingham, UK","2018"
"Leadership track at Sciensano","Belgium","2024–2026"
